sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Education-Credit 	C50 Buddhist Studies-A 	24 English-Credit 	98 Music-Credit 	20A Music-A 	C70V Letters & Science-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	98 Education-Credit 	25A Music-A 	98 Music-Credit 	C103 Public Policy-A 	61 Interdisciplinary Studies-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	177 Dutch-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	100A Interdisciplinary Studies-A 	R5A South & SE Asian Studies-A 	115 Global Poverty & Practice-A 	sem 4: 	major: ['Letters & Sci Undeclared']: 	100 Legal Studies-A 	61 Molecular & Cell Biology-A 	C100 Development Studies-A 	R1B History of Art-A 	sem 5: 	major: ['Interdisciplinary Studies']: 	183 Anthropology-A 	1B Biology-A 	159AC Geography-A 	150 International & Area Stds-A 	sem 6: 	major: ['Interdisciplinary Studies']: 	8A Physics-B 	104 Gender & Womens Studies-Credit 	1A Chemistry-A 	1AL Chemistry-A 	158AC International & Area Stds-A 	sem 7: 	major: ['Interdisciplinary Studies']: 	189 Interdisciplinary Studies-A 	sem 8: 	major: ['Interdisciplinary Studies']: 	98 Mathematics-Credit 	3A Chemistry-A 	16A Mathematics-A 	123 Geography-A 	3AL Chemistry-A 
label: 	['105 Global Poverty & Practice', '3BL Chemistry', '1A Biology', '3B Chemistry', '1AL Biology']
sem 0: 	major: ['Letters & Sci Undeclared']: 	R1B History of Art-A 	98 Physical Education-Credit 	39A Earth & Planetary Science-A 	1A Chemistry-C 	16B Mathematics-C 	1AL Chemistry-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	24 Bioengineering-Credit 	32L Molecular & Cell Biology-A 	44 Env Sci, Policy, & Mgmt-A 	8A Physics-B 	32 Molecular & Cell Biology-B 	C30T Letters & Science-A 	20A Music-A 
label: 	['3A Chemistry', 'N3AL Chemistry']
predict: 	['3B Chemistry', '8B Physics', '1A Chemistry', '1AL Biology', 'C112 Molecular & Cell Biology', '132 Integrative Biology', '1B Biology', '137A Physics', 'C112L Molecular & Cell Biology', '7C Physics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-C 	7A Physics-C 	1B Mathematics-D 	3AL Chemistry-A 	C10 Astronomy-A 
label: 	['1B Mathematics', '3BL Chemistry', '3B Chemistry', '301C Chemistry']
predict: 	['140 Integrative Biology', '150L Molecular & Cell Biology', '160L Molecular & Cell Biology', '112 Physics', '104LF Integrative Biology', '138 Integrative Biology', 'C143B Integrative Biology', '3BL Chemistry', 'C103 Molecular & Cell Biology', 'C130 Chemistry']
correct: 	['3BL Chemistry']

sem 0: 	major: ['Bioengineering']: 	7A Physics-C 	53 Mathematics-C 	3AL Chemistry-A 	10 Bioengineering-A 	17A Classics-Credit 	24 Bioengineering-Credit 	3A Chemistry-C 
label: 	['7 Engineering', '1A Biology', 'C85 Mechanical Engineering', 'R1B Comparative Literature', '1AL Biology', '25 Bioengineering']
predict: 	['1B Biology', '140 Integrative Biology', '150L Molecular & Cell Biology', '160L Molecular & Cell Biology', '112 Physics', '104LF Integrative Biology', '125 Chemistry', '138 Integrative Biology', '3BL Chemistry', 'C143B Integrative Biology']
correct: 	[]

negative hit rate	0.66
